股票代码,股票简称,现价(元),涨跌幅(%),解禁股类型2020.01.01-2020.12.31,解禁日期2020.01.01-2020.12.31,总解禁股数(股)2020.01.01-2020.12.31,总解禁金额(元)2020.01.01-2020.12.31,解禁成本(元)2020.01.01-2020.12.31
002599.SZ,盛通股份,4.67,-1.27,定向增发机构配售股份,20200302,34171673.00,169833214.81,8.12
002599.SZ,盛通股份,4.67,-1.27,定向增发机构配售股份,20200729,2239299.00,9673771.68,7.63
002602.SZ,世纪华通,10.84,2.46,定向增发机构配售股份,20200703,903596356.00,14041887372.24,11.93
002602.SZ,世纪华通,10.84,2.46,定向增发机构配售股份,20201015,--,--,9.56
002608.SZ,江苏国信,7.05,1.88,定向增发机构配售股份,20200106,2358364152.00,18159403970.40,8.91
002611.SZ,东方精工,4.89,-0.81,定向增发机构配售股份,20200427,193871164.00,872420238.00,5.72
002611.SZ,东方精工,4.89,-0.81,定向增发机构配售股份,20200603,24782609.00,103095653.44,5.72
002612.SZ,朗姿股份,10.45,-1.42,定向增发机构配售股份,20200820,19767146.00,190159944.52,8.69
002612.SZ,朗姿股份,10.45,-1.42,定向增发机构配售股份,20201016,--,--,6.68
002617.SZ,露笑科技,6.65,-2.35,定向增发机构配售股份,20200722,92826922.00,512404609.44,4.00
002617.SZ,露笑科技,6.65,-2.35,定向增发机构配售股份,20200907,--,--,4.45
002619.SZ,艾格拉斯,2.56,1.59,定向增发机构配售股份,20201019,--,--,4.93
002625.SZ,光启技术,21.33,0.24,定向增发机构配售股份,20200213,654249641.00,5011552250.06,4.19
002627.SZ,宜昌交运,6.36,-5.92,定向增发机构配售股份,20201023,--,--,6.44
002632.SZ,道明光学,8.83,0.23,定向增发机构配售股份,20200904,10003746.00,88333077.18,9.90
002640.SZ,跨境通,7.15,4.38,定向增发机构配售股份,20200514,23784004.00,132952582.36,15.74
002642.SZ,荣联科技,6.69,0.45,定向增发机构配售股份,20200415,26237385.00,165295525.50,20.81
002645.SZ,华宏科技,10.04,1.41,定向增发机构配售股份,20201028,--,--,8.17
002654.SZ,万润科技,4.74,1.07,定向增发机构配售股份,20200605,10691780.00,50037530.40,10.84
002656.SZ,ST摩登,1.90,0.53,定向增发机构配售股份,20200710,9966098.00,18237959.34,8.84
002656.SZ,ST摩登,1.90,0.53,定向增发机构配售股份,20200715,3555635.00,6684593.80,5.91
